#robots,#tasks,#tasks/r,mc time,mc sum,mc sum %,mc max,mc max %,rc time,rc sum,rc sum %,rc max,rc max %,v sum,v max
3,20,20,12447,268.3,-,98.8,-,12563,249.4,-,89.9,-,-7.05%,-8.96%
3,20,5,7008,265.3,-1.1%,98.1,-0.7%,6879,257.6,3.3%,92.6,2.9%,-2.91%,-5.66%
3,20,3,4893,260.2,-3.0%,93.1,-5.8%,4682,255.5,2.4%,92.1,2.3%,-1.83%,-1.12%
3,20,2,4297,264.0,-1.6%,95.1,-3.7%,4270,263.4,5.6%,94.1,4.6%,-0.25%,-1.10%
3,20,1,3320,271.3,1.1%,97.0,-1.8%,3281,271.3,8.8%,97.0,7.8%,0.00%,0.00%
5,20,20,8728,245.2,-,62.5,-,9230,236.5,-,58.9,-,-3.55%,-5.64%
5,20,5,4570,250.8,2.3%,63.0,0.9%,4511,244.2,3.3%,60.2,2.1%,-2.61%,-4.51%
5,20,3,3385,259.8,6.0%,61.2,-2.1%,3336,255.0,7.8%,61.2,3.8%,-1.84%,0.03%
5,20,2,2908,264.9,8.1%,63.5,1.7%,2883,263.4,11.4%,63.0,7.0%,-0.55%,-0.76%
5,20,1,2255,266.5,8.7%,63.0,0.9%,2284,266.5,12.7%,63.0,7.0%,0.00%,0.00%
10,20,20,8618,181.4,-,34.2,-,9423,181.7,-,31.3,-,0.17%,-8.65%
10,20,5,4196,199.2,9.8%,34.9,2.0%,4158,197.5,8.7%,33.4,6.7%,-0.85%,-4.44%
10,20,3,3106,203.2,12.1%,33.1,-3.3%,3138,200.6,10.4%,33.1,6.0%,-1.31%,0.15%
10,20,2,2657,208.7,15.1%,33.4,-2.6%,2666,207.1,14.0%,33.0,5.6%,-0.76%,-0.99%
10,20,1,2069,208.3,14.8%,33.2,-3.1%,2073,208.3,14.6%,33.2,6.1%,0.00%,0.00%
,,,4963.74,241.14,6.01%,64.27,-1.45%,5025.18,237.19,8.59%,62.40,5.16%,-1.56%,-2.78%
