Setting,,,Min cost + SSI,,Min cost + Replan,,Regret clearing + SSI,,RC + Replan,
#robots,#tasks,#tasks/r,run time,total cost,run time,total cost,run time,total cost,run time,total cost
3,10,10,2207.1,124.5,2207.1,124.5,2093.4,122.9,2093.4,122.9
3,10,5,1491.0,130.7,2482.3,129.3,1622.6,127.8,2611.4,126.5
3,10,2,961.4,129.1,4187.9,132.1,891.2,129.0,4112.5,127.1
3,10,1,734.5,127.1,6720.5,128.4,741.1,126.6,6934.1,124.8
5,10,10,3277.4,111.3,3277.4,111.3,3268.8,109.7,3268.8,109.7
5,10,5,2045.4,106.3,4072.7,107.4,1953.7,106.0,3838.0,104.5
5,10,2,1157.7,111.0,6345.9,110.3,1202.8,111.0,6494.9,110.1
5,10,1,1066.5,112.7,10866.3,111.2,911.3,113.2,10928.4,109.9
10,10,10,5290.5,78.4,5290.5,78.4,5252.9,78.0,5252.9,78.0
10,10,5,2987.4,84.9,6105.5,84.7,3147.1,84.4,6167.2,83.7
10,10,2,1819.4,83.8,11192.9,82.3,1802.1,83.2,11341.8,81.8
10,10,1,1737.5,77.6,19268.5,76.6,1719.3,77.6,19245.3,77.6
